,gene_id,gene_name
267765,Xelaev18022032m.g,fads2.L
267790,Xelaev18022033m.g,fads1.L
267814,Xelaev18022034m.g,fen1.L
267817,Xelaev18022035m.g,tmem258.L
267824,Xelaev18022036m.g,myrf.L
267878,Xelaev18022037m.g,dagla.L
267917,Xelaev18022038m.g,syt7.L
267943,Xelaev18022039m.g,lrrc10b.L
267944,Xelaev18022040m.g,pts.L
267956,Xelaev18022041m.g,tmem138.L
267965,Xelaev18022042m.g,LOC100487727.L
268013,Xelaev18022043m.g,LOC100485897.L
268015,Xelaev18022044m.g,vwce.L
268075,Xelaev18022045m.g,ppp6r3.L
268121,Xelaev18022046m.g,LOC100486048.L
268125,Xelaev18022047m.g,Xelaev18022047m.g
268127,Xelaev18022048m.g,loc100486192.L
268131,Xelaev18022049m.g,Xelaev18022049m.g
268133,Xelaev18022050m.g,LOC101733140.L
268137,Xelaev18022051m.g,LOC100490391-like.L
268174,Xelaev18022052m.g,LOC100494358.L
268194,Xelaev18022053m.g,LOC100145332.L
268202,Xelaev18022054m.g,mrpl21.L
268216,Xelaev18022055m.g,ighmbp2.L
268248,Xelaev18022056m.g,syt12.L
268264,Xelaev18022057m.g,LOC101731233.L
268274,Xelaev18022058m.g,ptdss2.L
268298,Xelaev18022059m.g,Xelaev18022059m.g
268300,Xelaev18022060m.g,kcnq1.L
268332,Xelaev18022061m.g,Xelaev18022061m.g
268333,Xelaev18022062m.g,Xelaev18022062m.g
268340,Xelaev18022063m.g,Xetrov90010607m.L
268347,Xelaev18022064m.g,Xelaev18022064m.g
268359,Xelaev18022065m.g,slc5a12.L
268389,Xelaev18022066m.g,unnamed.L
268421,Xelaev18022067m.g,Xelaev18022067m.g
268423,Xelaev18022068m.g,Xelaev18022068m.g
268425,Xelaev18022069m.g,Xelaev18022069m.g
268426,Xelaev18022070m.g,Xelaev18022070m.g
268428,Xelaev18022071m.g,muc2.L
268454,Xelaev18022072m.g,muc5ac.L
268485,Xelaev18022073m.g,LOC100494604.L
268533,Xelaev18022074m.g,Xelaev18022074m.g
268534,Xelaev18022075m.g,Xetrov90010884m.L
268615,Xelaev18022076m.g,LOC100494280.L
268667,Xelaev18022077m.g,LOC100492329.L
268707,Xelaev18022078m.g,Xelaev18022078m.g
268709,Xelaev18022079m.g,Xetrov90010888m.L
268735,Xelaev18022080m.g,LOC100494113.L
268783,Xelaev18022081m.g,Xelaev18022081m.g
268819,Xelaev18022082m.g,Xelaev18022082m.g
268826,Xelaev18022083m.g,LOC100493937.L
268882,Xelaev18022084m.g,muc5ac.L
269018,Xelaev18022085m.g,loc100493606.L
269082,Xelaev18022086m.g,Xetrov90010896m.L
269178,Xelaev18022087m.g,Xetrov90010898m.L
269288,Xelaev18022088m.g,muc6.L
269348,Xelaev18022089m.g,Xelaev18022089m.g
269360,Xelaev18022090m.g,ap2a2.L
269406,Xelaev18022092m.g,LOC100492003.L
269420,Xelaev18022093m.g,chid1.L
269445,Xelaev18022094m.g,Xelaev18022094m.g
269447,Xelaev18022095m.g,LOC100492951-like.L
269461,Xelaev18022096m.g,Xelaev18022096m.g
269462,Xelaev18022097m.g,Xelaev18022097m.g
269467,Xelaev18022098m.g,Xelaev18022098m.g
269469,Xelaev18022099m.g,cd151.L
269484,Xelaev18022100m.g,Xelaev18022100m.g
269485,Xelaev18022101m.g,cracr2b.L
269504,Xelaev18022102m.g,Xelaev18022102m.g
269506,Xelaev18022103m.g,pnpla2.L
269525,Xelaev18022104m.g,rplp2.L
269532,Xelaev18022105m.g,Xelaev18022105m.g
269534,Xelaev18022106m.g,pidd1.L
269567,Xelaev18022107m.g,LOC100488953.L
269586,Xelaev18022108m.g,Xelaev18022108m.g
269588,Xelaev18022109m.g,Xelaev18022109m.g
269592,Xelaev18022110m.g,pddc1.L
269608,Xelaev18022111m.g,LOC101731960.L
269619,Xelaev18022112m.g,syvn1.L
269650,Xelaev18022113m.g,prpf39.2.L
269663,Xelaev18022114m.g,mrpl49.L
269671,Xelaev18022115m.g,fau.L
269680,Xelaev18022116m.g,sac3d1.L
269685,Xelaev18022117m.g,znhit2.L
269687,Xelaev18022118m.g,tm7sf2.L
269707,Xelaev18022119m.g,LOC100489423.L
269711,Xelaev18022120m.g,capn1.L
269754,Xelaev18022121m.g,Xelaev18022121m.g
269775,Xelaev18022122m.g,Xelaev18022122m.g
269795,Xelaev18022123m.g,pola2.L
269833,Xelaev18022124m.g,cdc42ep2.L
269836,Xelaev18022125m.g,Xelaev18022125m.g
269838,Xelaev18022126m.g,dpf2.L
269860,Xelaev18022127m.g,chrm1.L
269865,Xelaev18022128m.g,lgals12.L
269883,Xelaev18022129m.g,Xetrov90010949m.L
269886,Xelaev18022130m.g,pla2g16.L
269894,Xelaev18022131m.g,rarres3.L
269902,Xelaev18022132m.g,kcne2.L
269904,Xelaev18022133m.g,Xelaev18022133m.g
269908,Xelaev18022134m.g,zfp36l2.1.L
269912,Xelaev18022135m.g,cdhr5.L
269946,Xelaev18022136m.g,Xelaev18022136m.g
269956,Xelaev18022137m.g,drd4.L
269964,Xelaev18022138m.g,deaf1.L
269988,Xelaev18022139m.g,tmem80.L
269998,Xelaev18022140m.g,eps8l2.L
270039,Xelaev18022141m.g,taldo1.L
270046,Xelaev18022142m.g,LOC101731668.L
270052,Xelaev18022143m.g,naaladl1.L
270071,Xelaev18022144m.g,Xelaev18022144m.g
270073,Xelaev18022145m.g,arl2.L
270083,Xelaev18022146m.g,rbm4.L
270086,Xelaev18022147m.g,Xelaev18022147m.g
270092,Xelaev18022148m.g,gpha2.L
270099,Xelaev18022149m.g,ppp2r5b.L
270111,Xelaev18022150m.g,slc22a8.L
270132,Xelaev18022151m.g,LOC100490946.L
270152,Xelaev18022152m.g,atg2a.L
270236,Xelaev18022153m.g,LOC100491113-like.L
270251,Xelaev18022154m.g,Xelaev18022154m.g
270253,Xelaev18022155m.g,Xelaev18022155m.g
270255,Xelaev18022156m.g,ehd1.L
270265,Xelaev18022157m.g,vps51.L
270285,Xelaev18022158m.g,spdyc.L
270297,Xelaev18022160m.g,Xetrov90011050m.L
270298,Xelaev18022161m.g,cdca5.L
270312,Xelaev18022162m.g,zfpl1.L
270327,Xelaev18022164m.g,cdc42bpg.L
270401,Xelaev18022165m.g,scyl1.L
270437,Xelaev18022166m.g,Xelaev18022166m.g
270439,Xelaev18022167m.g,Xelaev18022167m.g
270441,Xelaev18022168m.g,Xelaev18022168m.g
270443,Xelaev18022169m.g,frmd8.L
270464,Xelaev18022170m.g,sult1e1.L
270482,Xelaev18022171m.g,slc25a45.L
270495,Xelaev18022172m.g,Xelaev18022172m.g
270496,Xelaev18022173m.g,LOC100497338-like.L
270510,Xelaev18022174m.g,znf81.L
270523,Xelaev18022175m.g,Xelaev18022175m.g
270536,Xelaev18022176m.g,Xelaev18022176m.g
270537,Xelaev18022177m.g,Xelaev18022177m.g
270538,Xelaev18022178m.g,Xelaev18022178m.g
270541,Xelaev18022179m.g,Xelaev18022179m.g
270543,Xelaev18022180m.g,Xelaev18022180m.g
270546,Xelaev18022181m.g,hras.L
270558,Xelaev18022182m.g,lrrc56.L
270584,Xelaev18022183m.g,Xetrov90027400m.L
270587,Xelaev18022184m.g,Xelaev18022184m.g
270591,Xelaev18022185m.g,Xelaev18022185m.g
270593,Xelaev18022186m.g,rassf7.L
270597,Xelaev18022187m.g,phrf1.L
270636,Xelaev18022188m.g,irf7.L
270659,Xelaev18022189m.g,polr2g.L
270675,Xelaev18022190m.g,zbtb3.L
270678,Xelaev18022191m.g,LOC100496229.L
270686,Xelaev18022192m.g,LOC100170590.L
270694,Xelaev18022193m.g,ttc9c.L
270702,Xelaev18022194m.g,hnrnpul2.L
270731,Xelaev18022195m.g,Xetrov90011098m.L
270737,Xelaev18022196m.g,gng3.L
270747,Xelaev18022197m.g,bscl2.L
270765,Xelaev18022198m.g,lrrn4cl.L
270768,Xelaev18022199m.g,LOC100494823.L
270770,Xelaev18022200m.g,ccdc88b.L
270788,Xelaev18022201m.g,prdx5.L
270800,Xelaev18022202m.g,Xelaev18022202m.g
270803,Xelaev18022203m.g,esrra.L
270816,Xelaev18022204m.g,kcnk4.L
270832,Xelaev18022205m.g,bad.L
270840,Xelaev18022206m.g,LOC100216027.L
270844,Xelaev18022207m.g,LOC100487899-like.L
270857,Xelaev18022208m.g,plcb3.L
270923,Xelaev18022209m.g,ppp1r14b.L
270931,Xelaev18022210m.g,fkbp2.L
270942,Xelaev18022211m.g,Xelaev18022211m.g
